,Id,Do you own a car?,What is your primary method of transportation for commuting to campus?,How many parking or traffic tickets have you received in the last year?,How many news articles do you read per week?,What is your height in inches?,What is your shoe size (using US Men's sizing?),How many course credits (excluding research) are you enrolled in this quarter,What is the area code of your personal phone number,How many first dates have  you been on in the last year?,How many weddings have you attended (as a guest) in the past 2 years?,How many days a week do you cook dinner?,How many cups of coffee do you drink in a typical week?,How many servings of alcohol do you consume in a typical week?,How many hours of sleep do you get on weeknights? (Sunday-Thursday),Have you ever voted in a national (presidential) election?,Have you ever had a full-time job?,How many years total have you live in the US?,Have you ever checked your credit score?,Did you get a seasonal flu vaccine this year (last 12 months)?,How old were you when you got your first cell phone?,How old were you when you got your first smart pone?,Which mobile operating system does your cellphone use?,Are you more of a cat person or a dog person?,Which best describes your primary field of study/research?
0,1,yes,Walk,0,15,70,10,12,214,0,1,0,0,30,10,"No, but I am currently registered to vote","No, but I have had one or more full-time internships (<6 months each)",20,Now,Yes,12,14,IOS (apple),Dog,Engineering or Math/Statistics
1,2,yes,Bike,2,0,67,10,16,858,0,0,0,0,0.5,8,"No, but I am currently registered to vote",No,20,Now,Now,13,16,Android (google),Dog,Engineering or Math/Statistics
2,3,,,,,,,,,,,,,,,,,,,,,,,,
4,5,yes,Bike,0,20,24,0,0,775,5,1,2,1,2,7,Yes,"No, but I have had one or more part-time job/internship (<40 hours/week)",23,Yes,Yes,12,19,Android (google),Neither / both / don't know,Medical or Life Sciences
5,6,yes,Car,0,3,70,8,16,310,2,1,1,0,10,6,Yes,"No, but I have had one or more full-time internships (<6 months each)",21,Yes,Yes,10,13,IOS (apple),Dog,Engineering or Math/Statistics
6,7,no,Car,0,0,64,8,17,3174732089,0,0,0,0,0,6,"No, but I am currently registered to vote","No, but I have had one or more full-time internships (<6 months each)",20,Now,Yes,15,17,IOS (apple),Dog,Engineering or Math/Statistics
7,8,yes,Walk,0,50,76,13,12,913,3,1,2,20,36,8,Yes,Yes,20,Yes,Yes,13,16,IOS (apple),Dog,Engineering or Math/Statistics
8,9,no,Bike,1,10,61,5,16,818,0,2,0,1,6,7,"No, but I am currently registered to vote","No, but I have had one or more full-time internships (<6 months each)",17,Now,Now,12,16,IOS (apple),Dog,"Humanities, Social Sciences or Other (including Law, Business and Education)"
11,12,,Bike,0,2,64.2,7,8,650,1,0,2,7,1,7,"No, and I am currently not registered to vote","No, but I have had one or more part-time job/internship (<40 hours/week)",2,Yes,Yes,13,18,Android (google),Neither / both / don't know,Engineering or Math/Statistics
12,13,no,Bike,0,7,67,7,7,908,0,0,5,0,0,10,"No, and I am currently not registered to vote","No, but I have had one or more full-time internships (<6 months each)",12,Yes,Now,16,22,Android (google),Dog,Engineering or Math/Statistics
13,14,yes,Bike,0,10,63,5,10,650,0,1,5,0,0,7,"No, and I am currently not registered to vote","No, but I have had one or more part-time job/internship (<40 hours/week)",0.5,Yes,Now,9,13,IOS (apple),Cat,"Humanities, Social Sciences or Other (including Law, Business and Education)"
14,15,yes,Car,2,5,5,6,16,650,2,2,1,5,2,9,"No, and I am currently not registered to vote",Yes,2,Now,Now,18,22,IOS (apple),Dog,"Humanities, Social Sciences or Other (including Law, Business and Education)"
15,16,yes,Bike,5,15,69,10,10,608,0,3,3,10,3,7,Yes,Yes,29,Now,Now,16,23,IOS (apple),Neither / both / don't know,"Humanities, Social Sciences or Other (including Law, Business and Education)"
16,17,yes,Car,2,5,5,6,16,650,2,2,1,5,2,9,"No, and I am currently not registered to vote",Yes,2,Now,Now,18,22,IOS (apple),Dog,"Humanities, Social Sciences or Other (including Law, Business and Education)"
17,18,yes,Car,2,60,63,6,5,281,0,2,2,0,10,7,"No, but I am currently registered to vote",Yes,23,Yes,Now,13,15,IOS (apple),Cat,"Humanities, Social Sciences or Other (including Law, Business and Education)"
19,20,"No, but I regularly drive a borrowed or rented car",Bike,0,50,70,10,7,727,0,0,0,14,0,8,"No, but I am currently registered to vote","No, but I have had one or more full-time internships (<6 months each)",24,Now,Now,11,14,Android (google),Neither / both / don't know,Engineering or Math/Statistics
20,21,yes,Car,0,20,72,11.5,20,650,0,1,0,0,1,7,Yes,"No, but I have had one or more full-time internships (<6 months each)",22,Yes,Yes,14,17,IOS (apple),Neither / both / don't know,Engineering or Math/Statistics
21,22,no,Walk,0,6,63,3,16,954,0,0,0,0,0,7,"No, but I am currently registered to vote","No, but I have had one or more part-time job/internship (<40 hours/week)",20,Now,Now,13,15,IOS (apple),Dog,Engineering or Math/Statistics
22,23,yes,Bike,0,100,72,10,10,619,0,0,4,3,0,9.5,Yes,"No, but I have had one or more full-time internships (<6 months each)",20,Yes,Now,12,20,Android (google),Neither / both / don't know,"Humanities, Social Sciences or Other (including Law, Business and Education)"
